URL,Domain,Updated Date,Creation Date,Expiration Date,Registrar,Reg Country,Email,Date
http://github.com,github.com,2022-09-07T09:10:44+0000,2007-10-09T18:20:50+0000,2024-10-09T00:00:00+0000,"MarkMonitor, Inc.",US,https://domains.markmonitor.com/whois/github.com,Fri Jun 02 2023 21:28:33 GMT+0530 (India Standard Time)
http://getbootstrap.com,getbootstrap.com,2023-01-11T13:53:44Z,2012-01-10T16:42:14Z,2024-01-10T16:42:14Z,"GoDaddy.com, LLC",US,https://www.godaddy.com/whois/results.aspx?domain=GETBOOTSTRAP.COM,Fri Jun 02 2023 21:30:10 GMT+0530 (India Standard Time)
http://chat.openai.com,openai.com,2022-12-01T02:58:08Z,2007-01-19T18:28:24Z,2027-01-19T19:28:24Z,GANDI SAS,FR,,Fri Jun 02 2023 21:32:51 GMT+0530 (India Standard Time)
